Temperature             Resistance
(Kelvin)                (Ohms)

1.03661616591310E+00   4.11302018355604E+01
1.15453234859668E+00   3.77359662036078E+01
1.19979468348510E+00   3.66274283624888E+01
1.30372002624453E+00   3.44621111077454E+01
1.40101111376269E+00   3.27510008686774E+01
1.60101198554411E+00   2.99397941647696E+01
1.80291267916376E+00   2.77886001608565E+01
1.99203260703484E+00   2.62128344473432E+01
2.20129585363009E+00   2.48078658171634E+01
2.40120452945203E+00   2.37109870858364E+01
2.60176607058118E+00   2.27916685552606E+01
2.80233149941423E+00   2.20170529055042E+01
2.99817042204423E+00   2.13695999513777E+01
3.20049355141347E+00   2.07937064356824E+01
3.39852698948713E+00   2.03038339744725E+01
3.59989734275637E+00   1.98682086557519E+01
3.80035963917950E+00   1.94883197766368E+01
4.00046101316340E+00   1.91536354961338E+01
4.20283549399717E+00   1.88546103960192E+01
4.60776758728875E+00   1.83541348811877E+01
5.00907055944578E+00   1.79617594616301E+01
5.51054431874488E+00   1.75842732610518E+01
6.21242666296774E+00   1.72123614548046E+01
