Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   1.200   3.660206E+01   -2.343236E+01   -7.6823E-01
   1.300   3.455138E+01   -1.877129E+01   -7.0627E-01
   1.400   3.275790E+01   -1.670098E+01   -7.1376E-01
   1.500   3.123442E+01   -1.392063E+01   -6.6852E-01
   1.600   2.994609E+01   -1.197242E+01   -6.3968E-01
   1.700   2.882273E+01   -1.054275E+01   -6.2182E-01
   1.800   2.782863E+01   -9.380619E+00   -6.0675E-01
   1.900   2.694086E+01   -8.388851E+00   -5.9162E-01
   2.000   2.614824E+01   -7.476193E+00   -5.7183E-01
   2.100   2.544179E+01   -6.675481E+00   -5.5100E-01
   2.200   2.480884E+01   -6.003849E+00   -5.3241E-01
   2.300   2.423744E+01   -5.439736E+00   -5.1620E-01
   2.400   2.371793E+01   -4.964792E+00   -5.0238E-01
   2.500   2.324221E+01   -4.557949E+00   -4.9027E-01
   2.600   2.280471E+01   -4.199956E+00   -4.7884E-01
   2.700   2.240094E+01   -3.880260E+00   -4.6769E-01
   2.800   2.202772E+01   -3.588580E+00   -4.5615E-01
   2.900   2.168240E+01   -3.321728E+00   -4.4428E-01
   3.000   2.136265E+01   -3.076723E+00   -4.3207E-01
   3.100   2.106635E+01   -2.852705E+00   -4.1979E-01
   3.200   2.079143E+01   -2.648886E+00   -4.0769E-01
   3.300   2.053594E+01   -2.464059E+00   -3.9596E-01
   3.400   2.029803E+01   -2.297153E+00   -3.8478E-01
   3.500   2.007598E+01   -2.146313E+00   -3.7418E-01
   3.600   1.986828E+01   -2.009925E+00   -3.6419E-01
   3.700   1.967357E+01   -1.886093E+00   -3.5472E-01
   3.800   1.949070E+01   -1.773054E+00   -3.4568E-01
   3.900   1.931865E+01   -1.669221E+00   -3.3698E-01
   4.000   1.915660E+01   -1.573046E+00   -3.2846E-01
   4.200   1.885972E+01   -1.399459E+00   -3.1166E-01
   4.400   1.859555E+01   -1.244865E+00   -2.9455E-01
   4.600   1.836077E+01   -1.105328E+00   -2.7692E-01
   4.800   1.815247E+01   -9.800470E-01   -2.5915E-01
   5.000   1.796785E+01   -8.684082E-01   -2.4166E-01
