Temperature             Resistance
(Kelvin)                (Ohms)

4.39500980695278E-02   2.54450000000000E+04
4.81935368628874E-02   1.74314000000000E+04
5.19374411229892E-02   1.30437000000000E+04
5.67529947966099E-02   9.47720000000000E+03
6.36960673017554E-02   6.38430000000000E+03
7.36031847757841E-02   3.96697000000000E+03
8.39626913478259E-02   2.61974000000000E+03
9.55887863200347E-02   1.78250000000000E+03
1.12021455575938E-01   1.16516000000000E+03
1.27962792715232E-01   8.36810000000000E+02
1.45928709312508E-01   6.18810000000000E+02
1.62040043333049E-01   4.96168000000000E+02
1.81986878000182E-01   3.92156000000000E+02
2.03954698007347E-01   3.15939000000000E+02
2.29740406249196E-01   2.55810000000000E+02
2.59665644907982E-01   2.08493000000000E+02
2.89965662905883E-01   1.75314000000000E+02
3.09989772653976E-01   1.58420000000000E+02
3.29969779577749E-01   1.44728000000000E+02
3.67657563137635E-01   1.24271000000000E+02
4.17608635271147E-01   1.04974000000000E+02
4.75086707335043E-01   8.93680000000000E+01
5.34054554013328E-01   7.79470000000000E+01
6.08978644892530E-01   6.75060000000000E+01
6.85006387328302E-01   5.98600000000000E+01
7.63276543138892E-01   5.38930000000000E+01
8.54662646504865E-01   4.85931000000000E+01
9.50306433381502E-01   4.43181000000000E+01
1.05031479877999E+00   4.07703000000000E+01
1.14979742870172E+00   3.79172000000000E+01
1.20103845912503E+00   3.66537000000000E+01
