Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   0.050   1.507927E+04   -1.181840E+06   -3.9188E+00
   0.055   1.057027E+04   -6.815089E+05   -3.5461E+00
   0.060   7.822473E+03   -4.427502E+05   -3.3960E+00
   0.065   5.977243E+03   -3.069608E+05   -3.3381E+00
   0.070   4.674722E+03   -2.198056E+05   -3.2914E+00
   0.075   3.732844E+03   -1.606410E+05   -3.2276E+00
   0.080   3.038663E+03   -1.194291E+05   -3.1443E+00
   0.085   2.518774E+03   -9.016057E+04   -3.0426E+00
   0.090   2.123051E+03   -6.929723E+04   -2.9376E+00
   0.095   1.816083E+03   -5.429562E+04   -2.8402E+00
   0.100   1.573455E+03   -4.329044E+04   -2.7513E+00
   0.110   1.219906E+03   -2.875307E+04   -2.5927E+00
   0.120   9.788837E+02   -2.012558E+04   -2.4672E+00
   0.130   8.070416E+02   -1.464103E+04   -2.3584E+00
   0.140   6.800775E+02   -1.098369E+04   -2.2611E+00
   0.150   5.835929E+02   -8.463028E+03   -2.1752E+00
   0.160   5.084469E+02   -6.663419E+03   -2.0969E+00
   0.170   4.487138E+02   -5.347744E+03   -2.0260E+00
   0.180   4.003970E+02   -4.362339E+03   -1.9611E+00
   0.190   3.606790E+02   -3.613134E+03   -1.9033E+00
   0.200   3.275835E+02   -3.030000E+03   -1.8499E+00
   0.210   2.996603E+02   -2.572036E+03   -1.8025E+00
   0.220   2.758446E+02   -2.204298E+03   -1.7580E+00
   0.230   2.553384E+02   -1.907470E+03   -1.7182E+00
   0.240   2.375172E+02   -1.664294E+03   -1.6817E+00
   0.250   2.219162E+02   -1.462090E+03   -1.6471E+00
   0.260   2.081630E+02   -1.293661E+03   -1.6158E+00
   0.270   1.959554E+02   -1.151613E+03   -1.5868E+00
   0.280   1.850617E+02   -1.030314E+03   -1.5589E+00
   0.290   1.752905E+02   -9.266125E+02   -1.5330E+00
   0.300   1.664818E+02   -8.372248E+02   -1.5087E+00
   0.320   1.512590E+02   -6.916333E+02   -1.4632E+00
   0.340   1.385932E+02   -5.796029E+02   -1.4219E+00
   0.360   1.279172E+02   -4.914552E+02   -1.3831E+00
   0.380   1.188137E+02   -4.214181E+02   -1.3478E+00
   0.400   1.109739E+02   -3.644952E+02   -1.3138E+00
   0.420   1.041639E+02   -3.180715E+02   -1.2825E+00
   0.440   9.819857E+01   -2.795946E+02   -1.2528E+00
   0.460   9.293874E+01   -2.473347E+02   -1.2242E+00
   0.480   8.827048E+01   -2.202748E+02   -1.1978E+00
   0.500   8.410127E+01   -1.972375E+02   -1.1726E+00
   0.550   7.541558E+01   -1.529581E+02   -1.1155E+00
   0.600   6.859208E+01   -1.217340E+02   -1.0649E+00
   0.650   6.309754E+01   -9.915642E+01   -1.0215E+00
   0.700   5.858143E+01   -8.229442E+01   -9.8335E-01
   0.750   5.480334E+01   -6.938494E+01   -9.4955E-01
   0.800   5.159468E+01   -5.934874E+01   -9.2023E-01
   0.850   4.883463E+01   -5.135863E+01   -8.9393E-01
   0.900   4.643268E+01   -4.493110E+01   -8.7090E-01
   0.950   4.432220E+01   -3.966507E+01   -8.5018E-01
   1.000   4.245107E+01   -3.530722E+01   -8.3172E-01
   1.050   4.077971E+01   -3.165648E+01   -8.1509E-01
   1.100   3.927605E+01   -2.856879E+01   -8.0012E-01
   1.150   3.791543E+01   -2.592519E+01   -7.8633E-01
